Source: zookeeper_apache
URL: https://zookeeper.apache.org/credits.html

ZooKeeper's active PMC members are
Username | Name | Organization | Time Zone |
---|---|---|---|
tdunning | Ted Dunning | MapR Technologies | -8 |
camille | Camille Fournier | RentTheRunway | -5 |
phunt | Patrick Hunt | Cloudera Inc. | -8 |
fpj | Flavio Junqueira | Confluent | +0 |
ivank | Ivan Kelly | Midokura | +2 |
mahadev | Mahadev Konar | Hortonworks Inc. | -8 |
michim | Michi Mutsuzaki | Nicira | -8 |
cnauroth | Chris Nauroth | Hortonworks Inc. | -8 |
breed | Benjamin Reed | -8 | |
henry | Henry Robinson | Cloudera Inc. | -8 |
rgs | Raul Gutierrez Segales | -8 | |
rakeshr | Rakesh Radhakrishnan | Intel | +5:30 |
hanm | Michael Han | -8 | |
andor | Andor Molnar | Cloudera Inc. | +1 |
eolivelli | Enrico Olivelli | Diennea | +1 |
symat | Mate Szalay-Beko | Cloudera Inc. | +1 |
ZooKeeper's active committers are
Username | Name | Organization | Time Zone |
---|---|---|---|
camille | Camille Fournier | RentTheRunway | -5 |
phunt | Patrick Hunt | Cloudera Inc. | -8 |
fpj | Flavio Junqueira | Confluent | +1 |
cnauroth | Chris Nauroth | Hortonworks Inc. | -8 |
mahadev | Mahadev Konar | Hortonworks Inc. | -8 |
gkesavan | Giridharan Kesavan | Hortonworks Inc. | -8 |
akornev | Andrew Kornev | ||
michim | Michi Mutsuzaki | Nicira | -8 |
breed | Benjamin Reed | -8 | |
henry | Henry Robinson | Cloudera Inc. | -8 |
shralex | Alex Shraer | Apple | -8 |
thawan | Thawan Kooburat | -8 | |
rakeshr | Rakesh Radhakrishnan | Intel | +5:30 |
hdeng | Hongchao Deng | CoreOS | -8 |
rgs | Raul Gutierrez Segales | -8 | |
hanm | Michael Han | -8 | |
arshad | Mohammad Arshad | Huawei | +5:30 |
afine | Abraham Fine | IFTTT | -8 |
andor | Andor Molnar | Cloudera Inc. | +1 |
fangmin | Fangmin Lyu | -8 | |
eolivelli | Enrico Olivelli | Diennea | +1 |
nkalmar | Norbert Kalmar | Cloudera | +1 |
enixon | Brian Nixon | -8 | |
symat | Mate Szalay-Beko | Cloudera Inc. | +1 |
ddiederen | Damien Diederen | Crosstwine Labs | +1 |
A list of ZooKeeper contributors and their contributions is available from [Jira](https://issues.apache.org/jira/browse/ZooKeeper)
